T0.A.S31.L001,T0.B.S32.L001,T0.C.S33.L001,T1.A.S34.L001,T1.B.S35.L001,T1.C.S36.L001,T10.A.S61.L001,T10.B.S62.L001,T10.C.S63.L001,T11.A.S64.L001,T11.B.S65.L001,T11.C.S66.L001,T2.A.S37.L001,T2.B.S38.L001,T2.C.S39.L001,T3.A.S40.L001,T3.B.S41.L001,T3.C.S42.L001,T4.A.S43.L001,T4.B.S44.L001,T4.C.S45.L001,T5.A.S46.L001,T5.B.S47.L001,T5.C.S48.L001,T6.A.S49.L001,T6.B.S50.L001,T6.C.S51.L001,T7.A.S52.L001,T7.B.S53.L001,T7.C.S54.L001,T8.A.S55.L001,T8.B.S56.L001,T8.C.S57.L001,T9.A.S58.L001,T9.B.S59.L001,T9.C.S60.L001,sum.taxonomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pterocaesio;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Caesio;Caesio cuning
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Xenistius;Xenistius californiensis
0.038739971,0.058465881,8.68E-04,0,0,0,0.052843277,0.337018957,0.019271607,0.018070972,0,0.009065555,0.020750617,0,0,0,0.034793811,0.04522249,0.089448877,0.075872131,0,0,0,0,0,0,0,0,0,0,0.05108153,0,0,0.07536822,0.073118372,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii
0.066483525,0.042895082,0.06583892,0.007969384,0.006821977,0.005857247,0.020832211,0.052729491,0.037234892,0.019476621,0.031702762,0.007124165,0.003434328,0.029329046,0.037918212,0.002513343,0.009382943,0.046671158,0.022181776,0.004492916,0.021067184,0,0.023880258,0.02059932,0.018808239,0.015885194,0.028267154,0.015713059,0.124081394,0,0.003660809,0.100548985,0.032408003,0.016662517,0.056178966,0.00134892,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus niger
0,0,0,2.46E-04,0,2.11E-04,1.05E-04,0,0,0,0,1.18E-04,0.035384917,2.31E-04,3.38E-04,0.222216239,0,0,0,0.1923427,0,0,0.073302532,0,0,0,0,0,0,0,0,0,0.404025136,0,0.071314148,1.65E-04,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
9.60E-04,9.79E-06,0.005536116,0.068180582,0.068180582,0.068180582,9.35E-04,0.001660206,0.068180582,0.042885569,0.068180582,0.068180582,0.068180582,0.066797748,0.068180582,0.032831918,0.024316632,0.015699357,0.045243259,0.023444331,0.010795164,0.020307202,0.012794967,0.006920269,0.0159778,0.001627586,0.005232144,0.012670456,0.00584458,0.012284344,0.002483008,0.011134847,0.004526512,0,0.003456279,0.068180582,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565384563,0,0,0,0.434615437,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon anchorago
0,0,0,0.060872711,0.066098364,0.07924061,0.105455916,0.001582384,0.050973802,0.033560057,0.067698717,0.064906715,0.069950957,0.062743736,0.058519498,0.018957514,0.018362117,0.009971201,0.034351454,0.02567122,0.008546629,0.012992355,0.010828845,0.008712686,0.012562895,9.63E-04,0.0022568,0.007951914,0.006390392,0.007104741,0.004213976,0.00591045,0.006235094,0,0.00327021,0.07314315,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
